Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1666788448750,26/10/2022 12:47:28,1666788432502,1,26/10/2022 13:47:12,99963,4,task-mqly,,24824221,5e8db02f9b5ff0033fb25a8a,7330641,,complete,,63592c4e8ce36e6680b5d9b1,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1536x722,urn-eyes,consent-form-data,2,Team Bandit,,,bandit-eyes,consented,,,,,,,,,,,,,,,urn-eyes,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788560919,26/10/2022 12:49:20,1666788544735,1,26/10/2022 13:49:04,99963,4,task-mqly,,24824221,5e8db02f9b5ff0033fb25a8a,7330641,,complete,,63592c4e8ce36e6680b5d9b1,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1519x722,urn-eyes,consent-form-data,2,Team Bandit,,,bandit-eyes,consented,,,,,,,,,,,,,,,urn-eyes,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,112195.09999990463,,,,,0,1,0,,,,,,form
3,1666788561011,26/10/2022 12:49:21,1666788544741,1,26/10/2022 13:49:04,99963,4,task-mqly,,24824221,5e8db02f9b5ff0033fb25a8a,7330641,,complete,,63592c4e8ce36e6680b5d9b1,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1536x864,1519x722,urn-eyes,consent-form-data,2,Team Bandit,,,bandit-eyes,consented,,,,,,,,,,,,,,,urn-eyes,,,,consented,Spreadsheet1,,,END TASK,,,,,112239,,,,,0,1,0,,,,,,
1,1666788511034,26/10/2022 12:48:31,1666788510938,1,26/10/2022 13:48:30,99963,4,task-mqly,,24824251,62cf35eeb0961fc7ed38d12b,7330634,,complete,,63592c3ccd5b80e5d1b5d9b3,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1920x1080,1920x937,urn-progress,consent-form-data,2,Team Bandit,,,bandit-progressbar,consented,,,,,,,,,,,,,,urn-progress,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788513168,26/10/2022 12:48:33,1666788513114,1,26/10/2022 13:48:33,99963,4,task-mqly,,24824251,62cf35eeb0961fc7ed38d12b,7330634,,complete,,63592c3ccd5b80e5d1b5d9b3,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1920x1080,1920x937,urn-progress,consent-form-data,2,Team Bandit,,,bandit-progressbar,consented,,,,,,,,,,,,,,urn-progress,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2140.2000000476837,,,,,0,1,0,,,,,,form
3,1666788513215,26/10/2022 12:48:33,1666788513117,1,26/10/2022 13:48:33,99963,4,task-mqly,,24824251,62cf35eeb0961fc7ed38d12b,7330634,,complete,,63592c3ccd5b80e5d1b5d9b3,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1920x1080,1920x937,urn-progress,consent-form-data,2,Team Bandit,,,bandit-progressbar,consented,,,,,,,,,,,,,,urn-progress,,,,,consented,Spreadsheet1,,,END TASK,,,,,2179,,,,,0,1,0,,,,,,
1,1666788512649,26/10/2022 12:48:32,1666788512126,1,26/10/2022 13:48:32,99963,4,task-mqly,,24824252,5977986837d15f00016f1d08,7330653,,complete,,63592c951e45b1ed891bfbd7,computer,Desktop or Laptop,Chromium OS 15054.98.0,Chrome 106.0.0.0,1366x768,1366x617,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788514226,26/10/2022 12:48:34,1666788513753,1,26/10/2022 13:48:33,99963,4,task-mqly,,24824252,5977986837d15f00016f1d08,7330653,,complete,,63592c951e45b1ed891bfbd7,computer,Desktop or Laptop,Chromium OS 15054.98.0,Chrome 106.0.0.0,1366x768,1366x617,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,1574.7999999998137,,,,,0,1,0,,,,,,form
3,1666788514284,26/10/2022 12:48:34,1666788513758,1,26/10/2022 13:48:33,99963,4,task-mqly,,24824252,5977986837d15f00016f1d08,7330653,,complete,,63592c951e45b1ed891bfbd7,computer,Desktop or Laptop,Chromium OS 15054.98.0,Chrome 106.0.0.0,1366x768,1366x617,urn-posneg,consent-form-data,2,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,Spreadsheet1,,,END TASK,,,,,1632,,,,,0,1,0,,,,,,
1,1666788534779,26/10/2022 12:48:54,1666788532819,1,26/10/2022 13:48:52,99963,4,task-mqly,,24824266,59f102abc0d35a0001295876,7330648,,complete,,63592c5fdc4633962425ee4c,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x961,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788540361,26/10/2022 12:49:00,1666788538153,1,26/10/2022 13:48:58,99963,4,task-mqly,,24824266,59f102abc0d35a0001295876,7330648,,complete,,63592c5fdc4633962425ee4c,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x961,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,5157.800000071526,,,,,0,1,0,,,,,,form
3,1666788540634,26/10/2022 12:49:00,1666788538158,1,26/10/2022 13:48:58,99963,4,task-mqly,,24824266,59f102abc0d35a0001295876,7330648,,complete,,63592c5fdc4633962425ee4c,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1920x1080,1920x961,str-posneg,consent-form-data,2,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,5339,,,,,0,1,0,,,,,,
1,1666788542545,26/10/2022 12:49:02,1666788542436,1,26/10/2022 13:49:02,99963,4,task-mqly,,24824271,60732d7f3b309031712e96ab,7330659,,complete,,63592ca6cd8b25f39295d639,computer,Desktop or Laptop,Mac OS 10.15,Firefox 106.0,1440x900,1440x787,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1666788544607,26/10/2022 12:49:04,1666788544544,1,26/10/2022 13:49:04,99963,4,task-mqly,,24824271,60732d7f3b309031712e96ab,7330659,,complete,,63592ca6cd8b25f39295d639,computer,Desktop or Laptop,Mac OS 10.15,Firefox 106.0,1440x900,1440x787,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,continueButton,continue_button,2074,,,,,0,1,0,,,,,,form
3,1666788544680,26/10/2022 12:49:04,1666788544547,1,26/10/2022 13:49:04,99963,4,task-mqly,,24824271,60732d7f3b309031712e96ab,7330659,,complete,,63592ca6cd8b25f39295d639,computer,Desktop or Laptop,Mac OS 10.15,Firefox 106.0,1440x900,1440x787,str-vanilla,consent-form-data,2,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,,,END TASK,,,,,2111,,,,,0,1,0,,,,,,
1,1666788551047,26/10/2022 12:49:11,1666788551615,1,26/10/2022 13:49:11,99963,4,task-mqly,,24824282,5c4782d9cae0ab000188d2b4,7330663,,complete,,63592cb83c34b88d6ac9ab36,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x601,str-finalfeed,consent-form-data,2,Team Stroop,stroop-finalfeedback,,,consented,,,,,str-finalfeed,,,,,,,,,,,,,,consented,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
