Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Randomise questionnaire elements?,Question Key,Response
1,1666779145984,26/10/2022 10:12:25,1666779145793,1,26/10/2022 11:12:25,99963,4,questionnaire-vwo4,,24820647,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1536x722,str-bonus,debriefing,1,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666779149761,26/10/2022 10:12:29,1666779149575,1,26/10/2022 11:12:29,99963,4,questionnaire-vwo4,,24820647,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1519x722,str-bonus,debriefing,1,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,engagement-value,1
3,1666779150006,26/10/2022 10:12:30,1666779149576,1,26/10/2022 11:12:29,99963,4,questionnaire-vwo4,,24820647,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1519x722,str-bonus,debriefing,1,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,response_comment,
4,1666779150006,26/10/2022 10:12:30,1666779149577,1,26/10/2022 11:12:29,99963,4,questionnaire-vwo4,,24820647,60b1fcb92ac05499e8c028ad,7329332,,complete,,63590602f11a7501dcb07f4b,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.52,1536x864,1519x722,str-bonus,debriefing,1,Team Stroop,stroop-bonus,,,consented,,,,,,str-bonus,,,,,,,,,,,,,consented,No,END QUESTIONNAIRE,3785
1,1666779203695,26/10/2022 10:13:23,1666779203467,1,26/10/2022 11:13:23,99963,4,questionnaire-vwo4,,24820672,5d48ad5ada9cb60001aa59d9,7329349,,complete,,6359063b286d09937a8688f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1920x1080,1505x881,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666779254512,26/10/2022 10:14:14,1666779254321,1,26/10/2022 11:14:14,99963,4,questionnaire-vwo4,,24820672,5d48ad5ada9cb60001aa59d9,7329349,,complete,,6359063b286d09937a8688f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1920x1080,1505x881,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,engagement-value,1
3,1666779254595,26/10/2022 10:14:14,1666779254322,1,26/10/2022 11:14:14,99963,4,questionnaire-vwo4,,24820672,5d48ad5ada9cb60001aa59d9,7329349,,complete,,6359063b286d09937a8688f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1920x1080,1505x881,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,response_comment,i found it quite hard to find the pattern of images with the most rewards
4,1666779254595,26/10/2022 10:14:14,1666779254322,1,26/10/2022 11:14:14,99963,4,questionnaire-vwo4,,24820672,5d48ad5ada9cb60001aa59d9,7329349,,complete,,6359063b286d09937a8688f7,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1920x1080,1505x881,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,END QUESTIONNAIRE,50855
1,1666779262037,26/10/2022 10:14:22,1666779262142,1,26/10/2022 11:14:22,99963,4,questionnaire-vwo4,,24820717,5805db219ff6120001a135a2,7329374,,complete,,635906b15829c37b8e74050b,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x629,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666779272428,26/10/2022 10:14:32,1666779272640,1,26/10/2022 11:14:32,99963,4,questionnaire-vwo4,,24820717,5805db219ff6120001a135a2,7329374,,complete,,635906b15829c37b8e74050b,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x629,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,engagement-value,1
3,1666779272595,26/10/2022 10:14:32,1666779272646,1,26/10/2022 11:14:32,99963,4,questionnaire-vwo4,,24820717,5805db219ff6120001a135a2,7329374,,complete,,635906b15829c37b8e74050b,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x629,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,response_comment,
4,1666779272595,26/10/2022 10:14:32,1666779272647,1,26/10/2022 11:14:32,99963,4,questionnaire-vwo4,,24820717,5805db219ff6120001a135a2,7329374,,complete,,635906b15829c37b8e74050b,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x629,urn-posneg,debriefing,1,Team Bandit,,,bandit-posnegfeedback,consented,,,,,,,,,,,,,,,,urn-posneg,,,consented,No,END QUESTIONNAIRE,10506
1,1666779297280,26/10/2022 10:14:57,1666779297192,1,26/10/2022 11:14:57,99963,4,questionnaire-vwo4,,24820750,5cbcc928ec9b730018bad2a9,7329394,,complete,,6359071cfb3b2d2f30cb06f9,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 106.0.0.0,1440x900,1440x699,str-posneg,debriefing,1,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,BEGIN QUESTIONNAIRE,
2,1666779306688,26/10/2022 10:15:06,1666779306592,1,26/10/2022 11:15:06,99963,4,questionnaire-vwo4,,24820750,5cbcc928ec9b730018bad2a9,7329394,,complete,,6359071cfb3b2d2f30cb06f9,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 106.0.0.0,1440x900,1425x699,str-posneg,debriefing,1,Team Stroop,stroop-posnegfeedback,,,consented,,,,str-posneg,,,,,,,,,,,,,,,consented,No,engagement-value,1
