Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
251,1670774638124,11/12/2022 16:03:58,1670774623082,0,11/12/2022 16:03:43,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,84,113,3,fixation,fixation,timelimit_screen,499.8879999999772,,,,,0,1,0,,,1,5,6,trials,YELLOWyellow.jpg,Yellow,,Blue,Yellow,Red,Green
252,1670774638124,11/12/2022 16:03:58,1670774624172,0,11/12/2022 16:03:44,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,92,114,1,trial,responseB,response_keyboard,1078.3999999999069,,,Green,1,1,0,0,,,,5,6,trials,GREENblue.jpg,Green,,Blue,Yellow,Red,Green
253,1670774638124,11/12/2022 16:03:58,1670774624664,0,11/12/2022 16:03:44,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,92,114,3,fixation,fixation,timelimit_screen,499.90099999995437,,,,,0,1,0,,,1,5,6,trials,GREENblue.jpg,Green,,Blue,Yellow,Red,Green
254,1670774638124,11/12/2022 16:03:58,1670774625697,0,11/12/2022 16:03:45,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,98,115,1,trial,responseB,response_keyboard,992.8000000002794,,,Red,1,1,0,0,,,,5,6,trials,REDgreen.jpg,Red,,Blue,Yellow,Red,Green
255,1670774638124,11/12/2022 16:03:58,1670774626182,0,11/12/2022 16:03:46,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,98,115,3,fixation,fixation,timelimit_screen,499.93900000001304,,,,,0,1,0,,,1,5,6,trials,REDgreen.jpg,Red,,Blue,Yellow,Red,Green
256,1670774638124,11/12/2022 16:03:58,1670774626686,0,11/12/2022 16:03:46,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,89,116,1,trial,responseB,response_keyboard,476.20000000018626,,,Red,1,1,0,0,,,,5,6,trials,REDyellow.jpg,Red,,Blue,Yellow,Red,Green
257,1670774638124,11/12/2022 16:03:58,1670774627181,0,11/12/2022 16:03:47,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,89,116,3,fixation,fixation,timelimit_screen,499.8029999999562,,,,,0,1,0,,,1,5,6,trials,REDyellow.jpg,Red,,Blue,Yellow,Red,Green
258,1670774638124,11/12/2022 16:03:58,1670774628951,0,11/12/2022 16:03:48,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,88,117,1,trial,responseB,response_keyboard,1751.5,,,Green,1,1,0,0,,,,5,6,trials,GREENyellow.jpg,Green,,Blue,Yellow,Red,Green
259,1670774638124,11/12/2022 16:03:58,1670774629448,0,11/12/2022 16:03:49,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,88,117,3,fixation,fixation,timelimit_screen,499.88400000002,,,,,0,1,0,,,1,5,6,trials,GREENyellow.jpg,Green,,Blue,Yellow,Red,Green
260,1670774638124,11/12/2022 16:03:58,1670774631176,0,11/12/2022 16:03:51,96489,6,task-7g42,,25861002,5e88d0b981f7de570bc58fd6,7647811,,complete,,6395fcbb29aa4a9ddc141c57,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-finalfeed,stroop-5-finalfeedback,5,Team Stroop,stroop-finalfeedback,,,consented,,,,,,str-finalfeed,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,95,118,1,trial,responseA,response_keyboard,1698.5,,,Blue,1,1,0,0,,,,5,6,trials,BLUEred.jpg,Blue,,Blue,Yellow,Red,Green
