Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
271,1670849465914,12/12/2022 12:51:05,1670849463372,0,12/12/2022 12:51:03,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,158,83,7,fixation,fixation,timelimit_screen,500.0809999999474,,,,,0,1,0,,,1,9,10,trials,GREENgreen.jpg,Green,,Yellow,Blue,Green,Red
272,1670849466718,12/12/2022 12:51:06,1670849464168,0,12/12/2022 12:51:04,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,153,84,1,trial,responseB,response_keyboard,730,,,Red,1,1,0,0,,,,9,10,trials,REDyellow.jpg,Red,,Yellow,Blue,Green,Red
273,1670849469704,12/12/2022 12:51:09,1670849467155,0,12/12/2022 12:51:07,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,153,84,5,positive_feedback,advancementZone,timelimit_screen,2999.5260000000126,,,,,0,1,0,,,1,9,10,trials,REDyellow.jpg,Red,,Yellow,Blue,Green,Red
274,1670849470189,12/12/2022 12:51:10,1670849467654,0,12/12/2022 12:51:07,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,153,84,7,fixation,fixation,timelimit_screen,499.8989999999758,,,,,0,1,0,,,1,9,10,trials,REDyellow.jpg,Red,,Yellow,Blue,Green,Red
275,1670849473799,12/12/2022 12:51:13,1670849471249,0,12/12/2022 12:51:11,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,152,85,1,trial,responseB,response_keyboard,3563.9000000059605,,,Green,1,1,0,0,,,,9,10,trials,GREENyellow.jpg,Green,,Yellow,Blue,Green,Red
276,1670849473857,12/12/2022 12:51:13,1670849471261,0,12/12/2022 12:51:11,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,152,85,2,correct_screen,Zone2,timelimit_screen,16.638999999966472,,,,,0,1,0,,,1,9,10,trials,GREENyellow.jpg,Green,,Yellow,Blue,Green,Red
277,1670849474294,12/12/2022 12:51:14,1670849471753,0,12/12/2022 12:51:11,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,152,85,7,fixation,fixation,timelimit_screen,499.9800000000396,,,,,0,1,0,,,1,9,10,trials,GREENyellow.jpg,Green,,Yellow,Blue,Green,Red
278,1670849475973,12/12/2022 12:51:15,1670849473427,0,12/12/2022 12:51:13,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,162,86,1,trial,responseB,response_keyboard,1640.300000011921,,,Red,1,1,0,0,,,,9,10,trials,REDgreen.jpg,Red,,Yellow,Blue,Green,Red
279,1670849476036,12/12/2022 12:51:16,1670849473448,0,12/12/2022 12:51:13,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,162,86,2,correct_screen,Zone2,timelimit_screen,16.48300000000745,,,,,0,1,0,,,1,9,10,trials,REDgreen.jpg,Red,,Yellow,Blue,Green,Red
280,1670849476513,12/12/2022 12:51:16,1670849473938,0,12/12/2022 12:51:13,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,162,86,7,fixation,fixation,timelimit_screen,500.13000000000466,,,,,0,1,0,,,1,9,10,trials,REDgreen.jpg,Red,,Yellow,Blue,Green,Red
281,1670849477396,12/12/2022 12:51:17,1670849474865,0,12/12/2022 12:51:14,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,161,87,1,trial,responseB,response_keyboard,880.7999999821186,,,Red,1,1,0,0,,,,9,10,trials,REDred.jpg,Red,,Yellow,Blue,Green,Red
282,1670849477468,12/12/2022 12:51:17,1670849474876,0,12/12/2022 12:51:14,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,161,87,2,correct_screen,Zone2,timelimit_screen,16.662000000011176,,,,,0,1,0,,,1,9,10,trials,REDred.jpg,Red,,Yellow,Blue,Green,Red
283,1670849477904,12/12/2022 12:51:17,1670849475370,0,12/12/2022 12:51:15,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,161,87,7,fixation,fixation,timelimit_screen,499.9649999999674,,,,,0,1,0,,,1,9,10,trials,REDred.jpg,Red,,Yellow,Blue,Green,Red
284,1670849478858,12/12/2022 12:51:18,1670849476316,0,12/12/2022 12:51:16,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,148,88,1,trial,responseA,response_keyboard,919.1999999880791,,,Yellow,1,1,0,0,,,,9,10,trials,YELLOWyellow.jpg,Yellow,,Yellow,Blue,Green,Red
285,1670849478916,12/12/2022 12:51:18,1670849476330,0,12/12/2022 12:51:16,96489,6,task-on6n,,25878647,5bfece626e6cd80001beb6c0,7651852,,complete,,6397227d084611dfd556c395,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1366x768,1366x768,str-posneg,stroop-1-positivenegativefeedback,3,Team Stroop,stroop-posnegfeedback,,,consented,,,,,str-posneg,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,148,88,2,correct_screen,Zone2,timelimit_screen,16.65999999997439,,,,,0,1,0,,,1,9,10,trials,YELLOWyellow.jpg,Yellow,,Yellow,Blue,Green,Red
