Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer
113,1670774187919,11/12/2022 15:56:27,1670774193382,0,11/12/2022 15:56:33,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,140,33,3,fixation,fixation,timelimit_screen,500.7940000000017,,,,,0,1,0,,,1,8,9,trials,coherence-10-ll.mp4,left
114,1670774189137,11/12/2022 15:56:29,1670774194609,0,11/12/2022 15:56:34,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,132,34,1,trial,responseA,response_keyboard,1178.1000003814697,,,up,1,0,1,0,,,,8,9,trials,coherence-10-dd.mp4,down
115,1670774189645,11/12/2022 15:56:29,1670774195108,0,11/12/2022 15:56:35,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,132,34,3,fixation,fixation,timelimit_screen,500.75700000000506,,,,,0,1,0,,,1,8,9,trials,coherence-10-dd.mp4,down
116,1670774190560,11/12/2022 15:56:30,1670774195927,0,11/12/2022 15:56:35,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,145,35,1,trial,responseB,response_keyboard,757.8000001907349,,,right,1,1,0,0,,,,8,9,trials,coherence-20-rr.mp4,right
117,1670774190935,11/12/2022 15:56:30,1670774196416,0,11/12/2022 15:56:36,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,145,35,3,fixation,fixation,timelimit_screen,500.85399999999936,,,,,0,1,0,,,1,8,9,trials,coherence-20-rr.mp4,right
118,1670774191669,11/12/2022 15:56:31,1670774197156,0,11/12/2022 15:56:37,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,135,36,1,trial,responseA,response_keyboard,675.7999997138977,,,down,1,1,0,0,,,,8,9,trials,coherence-80-dd.mp4,down
119,1670774192173,11/12/2022 15:56:32,1670774197657,0,11/12/2022 15:56:37,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,135,36,3,fixation,fixation,timelimit_screen,500.7649999999994,,,,,0,1,0,,,1,8,9,trials,coherence-80-dd.mp4,down
120,1670774192899,11/12/2022 15:56:32,1670774198377,0,11/12/2022 15:56:38,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,147,37,1,trial,responseB,response_keyboard,677.6000003814697,,,right,1,1,0,0,,,,8,9,trials,coherence-80-rr.mp4,right
121,1670774193433,11/12/2022 15:56:33,1670774198863,0,11/12/2022 15:56:38,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,147,37,3,fixation,fixation,timelimit_screen,500.85399999999936,,,,,0,1,0,,,1,8,9,trials,coherence-80-rr.mp4,right
122,1670774194260,11/12/2022 15:56:34,1670774199753,0,11/12/2022 15:56:39,96489,6,task-zyvq,,25860302,5d70443e6f0a380017545335,7647663,,complete,,6395f7e3ba916a0c238749ba,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1920x1080,1280x646,rdk-eyes,random-dots-6-eyes,4,Team RDK,,rdk-eyes,,consented,,,,,,,,,,rdk-eyes,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,137,38,1,trial,responseA,response_keyboard,831.4000000953674,,,up,1,1,0,0,,,,8,9,trials,coherence-20-uu.mp4,up
