Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
162,1670773352259,11/12/2022 15:42:32,1670773345969,0,11/12/2022 15:42:25,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,157,70,1,trial,responseB,response_keyboard,3758.5,,,Green,1,1,0,0,,,,9,10,trials,GREENred.jpg,Green,,Red,Yellow,Green,Blue
163,1670773352574,11/12/2022 15:42:32,1670773346465,0,11/12/2022 15:42:26,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,157,70,3,fixation,fixation,timelimit_screen,499.9870000000228,,,,,0,1,0,,,1,9,10,trials,GREENred.jpg,Green,,Red,Yellow,Green,Blue
164,1670773354628,11/12/2022 15:42:34,1670773348563,0,11/12/2022 15:42:28,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,153,71,1,trial,responseA,response_keyboard,2054.2000000476837,,,Red,1,1,0,0,,,,9,10,trials,REDyellow.jpg,Red,,Red,Yellow,Green,Blue
165,1670773355122,11/12/2022 15:42:35,1670773349045,0,11/12/2022 15:42:29,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,153,71,3,fixation,fixation,timelimit_screen,499.99099999998,,,,,0,1,0,,,1,9,10,trials,REDyellow.jpg,Red,,Red,Yellow,Green,Blue
166,1670773356090,11/12/2022 15:42:36,1670773350024,0,11/12/2022 15:42:30,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,162,72,1,trial,responseA,response_keyboard,964.2999999523163,,,Red,1,1,0,0,,,,9,10,trials,REDgreen.jpg,Red,,Red,Yellow,Green,Blue
167,1670773356614,11/12/2022 15:42:36,1670773350512,0,11/12/2022 15:42:30,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,162,72,3,fixation,fixation,timelimit_screen,499.9979999999632,,,,,0,1,0,,,1,9,10,trials,REDgreen.jpg,Red,,Red,Yellow,Green,Blue
168,1670773359201,11/12/2022 15:42:39,1670773353139,0,11/12/2022 15:42:33,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,150,73,1,trial,responseA,response_keyboard,2612.1999999284744,,,Yellow,1,1,0,0,,,,9,10,trials,YELLOWblue.jpg,Yellow,,Red,Yellow,Green,Blue
169,1670773359711,11/12/2022 15:42:39,1670773353628,0,11/12/2022 15:42:33,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,150,73,3,fixation,fixation,timelimit_screen,499.9780000000028,,,,,0,1,0,,,1,9,10,trials,YELLOWblue.jpg,Yellow,,Red,Yellow,Green,Blue
170,1670773363308,11/12/2022 15:42:43,1670773357106,0,11/12/2022 15:42:37,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,158,74,1,trial,responseB,response_keyboard,3466.5,,,Green,1,1,0,0,,,,9,10,trials,GREENgreen.jpg,Green,,Red,Yellow,Green,Blue
171,1670773363654,11/12/2022 15:42:43,1670773357595,0,11/12/2022 15:42:37,96489,6,task-c9op,,25860448,5af7027fc13ab20001737328,7647696,,complete,,6395f90b647267e2cb2f18bc,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,str-eyes,stroop-6-eyes,3,Team Stroop,stroop-eyes,,,consented,,,str-eyes,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,158,74,3,fixation,fixation,timelimit_screen,500.01500000001397,,,,,0,1,0,,,1,9,10,trials,GREENgreen.jpg,Green,,Red,Yellow,Green,Blue
