Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
99,1670773783373,11/12/2022 15:49:43,1670773783357,0,11/12/2022 15:49:43,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,90,38,3,fixation,fixation,timelimit_screen,506.4639999999781,,,,,0,1,0,,,1,5,6,trials,YELLOWred.jpg,Yellow,,Red,Yellow,Green,Blue
100,1670773784302,11/12/2022 15:49:44,1670773784282,0,11/12/2022 15:49:44,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,86,39,1,trial,responseA,response_keyboard,909,,,Yellow,1,1,0,0,,,,5,6,trials,YELLOWblue.jpg,Yellow,,Red,Yellow,Green,Blue
101,1670773784797,11/12/2022 15:49:44,1670773784783,0,11/12/2022 15:49:44,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,86,39,3,fixation,fixation,timelimit_screen,506.4640000000072,,,,,0,1,0,,,1,5,6,trials,YELLOWblue.jpg,Yellow,,Red,Yellow,Green,Blue
102,1670773785505,11/12/2022 15:49:45,1670773785494,0,11/12/2022 15:49:45,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,94,40,1,trial,responseB,response_keyboard,696.4000000953674,,,Green,1,1,0,0,,,,5,6,trials,GREENgreen.jpg,Green,,Red,Yellow,Green,Blue
103,1670773786010,11/12/2022 15:49:46,1670773785994,0,11/12/2022 15:49:45,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,94,40,3,fixation,fixation,timelimit_screen,506.4640000000072,,,,,0,1,0,,,1,5,6,trials,GREENgreen.jpg,Green,,Red,Yellow,Green,Blue
104,1670773788370,11/12/2022 15:49:48,1670773788356,0,11/12/2022 15:49:48,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,97,41,1,trial,responseB,response_keyboard,2346.3000000715256,,,Green,1,0,1,0,,,,5,6,trials,REDred.jpg,Red,,Red,Yellow,Green,Blue
105,1670773788880,11/12/2022 15:49:48,1670773788861,0,11/12/2022 15:49:48,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,97,41,3,fixation,fixation,timelimit_screen,506.4640000000072,,,,,0,1,0,,,1,5,6,trials,REDred.jpg,Red,,Red,Yellow,Green,Blue
106,1670773789959,11/12/2022 15:49:49,1670773789948,0,11/12/2022 15:49:49,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,98,42,1,trial,responseA,response_keyboard,1070.8999999761581,,,Red,1,1,0,0,,,,5,6,trials,REDgreen.jpg,Red,,Red,Yellow,Green,Blue
107,1670773790448,11/12/2022 15:49:50,1670773790435,0,11/12/2022 15:49:50,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,98,42,3,fixation,fixation,timelimit_screen,493.81099999998696,,,,,0,1,0,,,1,5,6,trials,REDgreen.jpg,Red,,Red,Yellow,Green,Blue
108,1670773791672,11/12/2022 15:49:51,1670773791663,0,11/12/2022 15:49:51,96489,6,task-3kpz,,25860698,62d7e43b0650a2078b1feed7,7647753,,complete,,6395fb7a8e7f51973e354eae,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,2048x1152,2048x1152,str-bonus,stroop-2-bonus,5,Team Stroop,stroop-bonus,,,consented,,,,,,,str-bonus,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,99,43,1,trial,responseB,response_keyboard,1213.2000000476837,,,Green,1,0,1,0,,,,5,6,trials,BLUEblue.jpg,Blue,,Red,Yellow,Green,Blue
