Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-kkga,randomiser-adb4,randomiser-qy4z,randomiser-96sz,branch-bacs,checkpoint-5mim,checkpoint-uuzu,checkpoint-dtit,checkpoint-ly9c,checkpoint-5gp5,checkpoint-tv5u,checkpoint-pmrq,checkpoint-bic9,checkpoint-gmjm,checkpoint-tmgz,checkpoint-46o1,checkpoint-jyvi,checkpoint-as8d,checkpoint-5yxx,checkpoint-qb97,checkpoint-s95m,checkpoint-dk5r,checkpoint-kcb8,checkpoint-htzq,checkpoint-vo3m,checkpoint-n7br,branch-h5d1,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,ANSWER,Left,Right,Up,Down
298,1670773694490,11/12/2022 15:48:14,1670773694745,0,11/12/2022 15:48:14,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,107,138,1,trial,responseB,response_keyboard,1265.6000000238419,,,Red,1,1,0,0,,,,6,7,trials,REDblue.jpg,Red,,Yellow,Green,Blue,Red
299,1670773694971,11/12/2022 15:48:14,1670773695228,0,11/12/2022 15:48:15,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,107,138,3,fixation,fixation,timelimit_screen,499.89400000002934,,,,,0,1,0,,,1,6,7,trials,REDblue.jpg,Red,,Yellow,Green,Blue,Red
300,1670773697032,11/12/2022 15:48:17,1670773697283,0,11/12/2022 15:48:17,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,108,139,1,trial,responseA,response_keyboard,2045,,,Green,1,1,0,0,,,,6,7,trials,GREENblue.jpg,Green,,Yellow,Green,Blue,Red
301,1670773697532,11/12/2022 15:48:17,1670773697779,0,11/12/2022 15:48:17,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,108,139,3,fixation,fixation,timelimit_screen,500.1329999999725,,,,,0,1,0,,,1,6,7,trials,GREENblue.jpg,Green,,Yellow,Green,Blue,Red
302,1670773699900,11/12/2022 15:48:19,1670773700154,0,11/12/2022 15:48:20,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,112,140,1,trial,responseB,response_keyboard,2364.5,,,Blue,1,1,0,0,,,,6,7,trials,BLUEgreen.jpg,Blue,,Yellow,Green,Blue,Red
303,1670773700390,11/12/2022 15:48:20,1670773700645,0,11/12/2022 15:48:20,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,112,140,3,fixation,fixation,timelimit_screen,500.0480000000098,,,,,0,1,0,,,1,6,7,trials,BLUEgreen.jpg,Blue,,Yellow,Green,Blue,Red
304,1670773701138,11/12/2022 15:48:21,1670773701359,0,11/12/2022 15:48:21,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,106,141,1,trial,responseA,response_keyboard,703.5,,,Yellow,1,1,0,0,,,,6,7,trials,YELLOWred.jpg,Yellow,,Yellow,Green,Blue,Red
305,1670773701600,11/12/2022 15:48:21,1670773701846,0,11/12/2022 15:48:21,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,106,141,3,fixation,fixation,timelimit_screen,500.0709999999963,,,,,0,1,0,,,1,6,7,trials,YELLOWred.jpg,Yellow,,Yellow,Green,Blue,Red
306,1670773702646,11/12/2022 15:48:22,1670773702900,0,11/12/2022 15:48:22,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,115,142,1,trial,responseB,response_keyboard,1034.199999988079,,,Blue,1,1,0,0,,,,6,7,trials,BLUEblue.jpg,Blue,,Yellow,Green,Blue,Red
307,1670773703141,11/12/2022 15:48:23,1670773703395,0,11/12/2022 15:48:23,96489,6,task-td7i,,25860582,5a7cd4f00f1bce000121dcf3,7647722,,complete,,6395fa3da15fc13cfaca70e9,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1139x640,1139x640,str-vanilla,stroop-3-vanilla,3,Team Stroop,stroop-vanilla,,,consented,str-vanilla,,,,,,,,,,,,,,,,,,,,,consented,Spreadsheet1,Spreadsheet1,115,142,3,fixation,fixation,timelimit_screen,499.9890000000014,,,,,0,1,0,,,1,6,7,trials,BLUEblue.jpg,Blue,,Yellow,Green,Blue,Red
